UserName,FatherName,DateOfBirth,EmailId,CNIC,Password,Address,MobileNumber,Gender,LastPassedExam,LastExamTotalMarks,LastExamObtainedMarks,RegNumber,EnrollmentCourse,SectionName,ParentsEmail,ProfilePicture
Adnan,,10/08/1998,adnan.muhib@rocketmail.com,123456789,P@ssw0rd,UET,3053996778,Male,ICS,1100,924,2015-CS-51,,,parentemail@email.com,/Images/Accounts/ad174636599.png
AHSAN ALI,,11/08/1998,2015-CS-2@gmail.com,36301234567,P@ssw0rd,UET,34512345678,Male,FSC,1100,850,2015-CS-2,,,,/Images/Accounts/ad174636599.png
MUHAMMAD MOHSIN ALI,,12/08/1998,2015-CS-3@gmail.com,36301234568,P@ssw0rd,UET,34512345679,Male,FSC,1100,851,2015-CS-3,,,,/Images/Accounts/ad174636599.png
MUHAMMAD UMAIR,,13/08/1998,2015-CS-5@gmail.com,36301234569,P@ssw0rd,UET,34512345680,Male,FSC,1100,852,2015-CS-5,,,,/Images/Accounts/ad174636599.png
HUSSNAIN HAIDER,,14/08/1998,2015-CS-6@gmail.com,36301234570,P@ssw0rd,UET,34512345681,Male,FSC,1100,853,2015-CS-6,,,,/Images/Accounts/ad174636599.png
FAISAL NADEEM,,15/08/1998,2015-CS-7@gmail.com,36301234571,P@ssw0rd,UET,34512345682,Male,FSC,1100,854,2015-CS-7,,,,/Images/Accounts/ad174636599.png
MUHAMMAD ARSLAN SHAHID,,16/08/1998,2015-CS-8@gmail.com,36301234572,P@ssw0rd,UET,34512345683,Male,FSC,1100,855,2015-CS-8,,,,/Images/Accounts/ad174636599.png
SAQIB AMEEN,,17/08/1998,2015-CS-9@gmail.com,36301234573,P@ssw0rd,UET,34512345684,Male,FSC,1100,856,2015-CS-9,,,,/Images/Accounts/ad174636599.png
ASAD GULZAR,,18/08/1998,2015-CS-10@gmail.com,36301234574,P@ssw0rd,UET,34512345685,Male,FSC,1100,857,2015-CS-10,,,,/Images/Accounts/ad174636599.png
AHSAN HAYAT,,19/08/1998,2015-CS-11@gmail.com,36301234575,P@ssw0rd,UET,34512345686,Male,FSC,1100,858,2015-CS-11,,,,/Images/Accounts/ad174636599.png
ZARYAB RAZA ,,20/08/1998,2015-CS-12@gmail.com,36301234576,P@ssw0rd,UET,34512345687,Male,FSC,1100,859,2015-CS-12,,,,/Images/Accounts/ad174636599.png
GHAZANFAR PERDAKH ,,21/08/1998,2015-CS-13@gmail.com,36301234577,P@ssw0rd,UET,34512345688,Male,FSC,1100,860,2015-CS-13,,,,/Images/Accounts/ad174636599.png
HAMZA AFZAAL,,22/08/1998,2015-CS-15@gmail.com,36301234578,P@ssw0rd,UET,34512345689,Male,FSC,1100,861,2015-CS-15,,,,/Images/Accounts/ad174636599.png
ADNAN AKBAR KHAN,,23/08/1998,2015-CS-16@gmail.com,36301234579,P@ssw0rd,UET,34512345690,Male,FSC,1100,862,2015-CS-16,,,,/Images/Accounts/ad174636599.png
ALI ADNAN ASLAM,,24/08/1998,2015-CS-17@gmail.com,36301234580,P@ssw0rd,UET,34512345691,Male,FSC,1100,863,2015-CS-17,,,,/Images/Accounts/ad174636599.png
MOHAMMAD TALAL HAIDER,,25/08/1998,2015-CS-19@gmail.com,36301234581,P@ssw0rd,UET,34512345692,Male,FSC,1100,864,2015-CS-19,,,,/Images/Accounts/ad174636599.png
ATHAR QAZI,,26/08/1998,2015-CS-21@gmail.com,36301234582,P@ssw0rd,UET,34512345693,Male,FSC,1100,865,2015-CS-21,,,,/Images/Accounts/ad174636599.png
MUHAMMAD ARSAL KHAN,,27/08/1998,2015-CS-23@gmail.com,36301234583,P@ssw0rd,UET,34512345694,Male,FSC,1100,866,2015-CS-23,,,,/Images/Accounts/ad174636599.png
MUHAMMAD NAQI JEHANGIR,,28/08/1998,2015-CS-26@gmail.com,36301234584,P@ssw0rd,UET,34512345695,Male,FSC,1100,867,2015-CS-26,,,,/Images/Accounts/ad174636599.png
